date,symbol,marketcapname,sector
23-04-2024 9:15 am,INFY,Largecap,I.T
23-04-2024 9:15 am,KOTAKBANK,Largecap,Bank
23-04-2024 9:15 am,GRASIM,Largecap,Textiles
23-04-2024 9:15 am,TATAMOTORS,Largecap,Auto
23-04-2024 9:15 am,ITC,Largecap,FMCG
23-04-2024 9:15 am,APOLLOHOSP,Largecap,Pharmaceuticals
23-04-2024 9:15 am,HCLTECH,Largecap,I.T
23-04-2024 11:15 am,HEROMOTOCO,Largecap,Auto
23-04-2024 12:15 pm,BRITANNIA,Largecap,FMCG
23-04-2024 12:15 pm,DIVISLAB,Largecap,Pharmaceuticals
24-04-2024 9:15 am,CIPLA,Largecap,Pharmaceuticals
24-04-2024 9:15 am,NESTLEIND,Largecap,FMCG
24-04-2024 10:15 am,HINDALCO,Largecap,Metals
24-04-2024 11:15 am,TATASTEEL,Largecap,Metals
25-04-2024 10:15 am,NTPC,Largecap,Miscellaneous
25-04-2024 10:15 am,COALINDIA,Largecap,Industrials
25-04-2024 1:15 pm,SUNPHARMA,Largecap,Pharmaceuticals
25-04-2024 2:15 pm,ONGC,Largecap,Oils
25-04-2024 2:15 pm,ADANIENT,Largecap,Services
25-04-2024 2:15 pm,INDUSINDBK,Largecap,Bank
26-04-2024 9:15 am,HDFCLIFE,Largecap,Services
26-04-2024 9:15 am,BAJAJ-AUTO,Largecap,Auto
26-04-2024 9:15 am,LTIM,Largecap,I.T
